iter	Passed	Remaining
0	37	37412
1	92	45919
2	166	55168
3	214	53308
4	258	51497
5	336	55710
6	393	55890
7	445	55226
8	458	50487
9	473	46904
10	502	45174
11	540	44533
12	548	41618
13	548	38643
14	559	36734
15	625	38479
16	641	37117
17	642	35048
18	688	35531
19	688	33747
20	689	32130
21	689	30653
22	690	29310
23	690	28081
24	691	26949
25	775	29060
26	776	27980
27	776	26969
28	777	26024
29	817	26432
30	841	26306
31	872	26378
32	881	25834
33	891	25341
34	893	24634
35	979	26232
36	1066	27749
37	1066	27004
38	1067	26296
39	1067	25618
40	1068	24994
41	1069	24386
42	1094	24360
43	1140	24773
44	1185	25166
45	1228	25467
46	1247	25290
47	1247	24748
48	1248	24227
49	1248	23726
50	1249	23251
51	1250	22789
52	1250	22346
53	1251	21919
54	1251	21511
55	1274	21483
56	1274	21093
57	1275	20715
58	1275	20349
59	1276	20002
60	1277	19661
61	1277	19331
62	1278	19011
63	1278	18701
64	1279	18402
65	1279	18111
66	1280	17828
67	1280	17554
68	1281	17287
69	1281	17028
70	1360	17801
71	1456	18771
72	1484	18852
73	1485	18589
74	1485	18326
75	1488	18102
76	1529	18328
77	1541	18224
78	1549	18068
79	1569	18053
80	1588	18023
81	1615	18090
82	1640	18125
83	1711	18664
84	1784	19206
85	1796	19089
86	1796	18853
87	1861	19296
88	1890	19349
89	1922	19440
90	1982	19801
91	2003	19775
92	2057	20068
93	2090	20148
94	2090	19919
95	2091	19694
96	2091	19474
97	2092	19256
98	2092	19045
99	2151	19365
100	2173	19342
101	2185	19243
102	2231	19435
103	2279	19639
104	2341	19959
105	2348	19809
106	2349	19606
107	2349	19407
108	2350	19211
109	2350	19020
110	2369	18975
111	2408	19093
112	2464	19344
113	2483	19304
114	2542	19567
115	2573	19613
116	2620	19779
117	2631	19672
118	2682	19860
119	2696	19770
120	2696	19591
121	2697	19413
122	2708	19312
123	2772	19586
124	2773	19412
125	2797	19406
126	2816	19361
127	2826	19252
128	2847	19227
129	2860	19144
130	2869	19036
131	2889	19000
132	2897	18886
133	2898	18728
134	2903	18602
135	2904	18450
136	2904	18298
137	2905	18148
138	2909	18023
139	2910	17880
140	2911	17737
141	2912	17595
142	2918	17492
143	2934	17446
144	2935	17309
145	2963	17334
146	2985	17323
147	2986	17190
148	2986	17057
149	2987	16926
150	2987	16798
151	2988	16671
152	2988	16545
153	2989	16421
154	2989	16299
155	2990	16178
156	2990	16059
157	2991	15941
158	2991	15825
159	2992	15710
160	2992	15596
161	3010	15571
162	3010	15460
163	3011	15350
164	3011	15242
165	3051	15330
166	3144	15684
167	3222	15960
168	3223	15849
169	3235	15796
170	3235	15687
171	3272	15752
172	3272	15645
173	3337	15844
174	3404	16049
175	3495	16364
176	3551	16514
177	3583	16547
178	3612	16570
179	3625	16513
180	3638	16465
181	3654	16424
182	3767	16819
183	3839	17025
184	3911	17233
185	4018	17585
186	4136	17982
187	4168	18003
188	4194	18000
189	4279	18242
190	4338	18375
191	4338	18258
192	4348	18184
193	4407	18309
194	4415	18227
195	4445	18234
196	4471	18228
197	4503	18242
198	4533	18249
199	4557	18228
200	4557	18116
201	4557	18005
202	4558	17896
203	4558	17787
204	4559	17680
205	4559	17573
206	4559	17468
207	4560	17364
208	4560	17260
209	4561	17158
210	4561	17056
211	4561	16956
212	4562	16856
213	4562	16758
214	4563	16660
215	4563	16563
216	4563	16467
217	4564	16372
218	4564	16278
219	4565	16185
220	4565	16092
221	4565	16000
222	4577	15948
223	4660	16144
224	4712	16232
225	4730	16200
226	4730	16110
227	4759	16114
228	4765	16045
229	4766	15957
230	4766	15869
231	4768	15785
232	4768	15698
233	4769	15612
234	4770	15528
235	4770	15443
236	4771	15359
237	4771	15276
238	4771	15194
239	4772	15113
240	4773	15032
241	4773	14952
242	4774	14872
243	4775	14795
244	4775	14717
245	4776	14639
246	4776	14561
247	4777	14485
248	4777	14409
249	4777	14333
250	4778	14258
251	4778	14184
252	4779	14110
253	4780	14039
254	4780	13967
255	4781	13896
256	4782	13825
257	4782	13755
258	4783	13685
259	4783	13615
260	4784	13546
261	4787	13484
262	4787	13415
263	4787	13348
264	4788	13281
265	4788	13214
266	4789	13148
267	4789	13082
268	4790	13017
269	4790	12952
270	4791	12887
271	4792	12827
272	4797	12775
273	4797	12712
274	4798	12650
275	4798	12587
276	4799	12526
277	4799	12465
278	4800	12404
279	4800	12345
280	4801	12285
281	4811	12250
282	4812	12192
283	4812	12133
284	4813	12074
285	4813	12016
286	4813	11959
287	4814	11901
288	4814	11845
289	4815	11789
290	4815	11733
291	4818	11683
292	4819	11628
293	4823	11583
294	4826	11535
295	4827	11480
296	4830	11434
297	4834	11388
298	4835	11336
299	4835	11283
300	4836	11230
301	4836	11178
302	4837	11126
303	4837	11075
304	4837	11024
305	4838	10974
306	4839	10924
307	4840	10874
308	4840	10825
309	4841	10775
310	4841	10726
311	4842	10677
312	4842	10629
313	4843	10580
314	4843	10533
315	4844	10487
316	4846	10442
