iter	Passed	Remaining
317	4846	10395
318	4847	10348
319	4848	10302
320	4848	10256
321	4849	10210
322	4849	10164
323	4849	10118
324	4850	10073
325	4850	10028
326	4851	9984
327	4851	9939
328	4852	9896
329	4853	9853
330	4857	9817
331	4857	9773
332	4858	9731
333	4860	9691
334	4860	9649
335	4861	9606
336	4871	9584
337	4872	9543
338	4872	9501
339	4873	9460
340	4874	9419
341	4874	9379
342	4875	9338
343	4875	9298
344	4876	9258
345	4876	9218
346	4877	9179
347	4878	9140
348	4878	9100
349	4879	9061
350	4879	9023
351	4880	8984
352	4880	8946
353	4881	8908
354	4882	8870
355	4882	8832
356	4883	8795
357	4883	8757
358	4884	8720
359	4884	8683
360	4885	8646
361	4885	8610
362	4885	8573
363	4886	8537
364	4887	8503
365	4888	8468
366	4889	8433
367	4890	8398
368	4890	8363
369	4891	8328
370	4892	8294
371	4892	8259
372	4893	8225
373	4893	8190
374	4893	8156
375	4894	8122
376	4894	8088
377	4895	8055
378	4895	8021
379	4896	7988
380	4896	7955
381	4897	7923
382	4897	7890
383	4899	7859
384	4899	7826
385	4900	7794
386	4900	7762
387	4901	7730
388	4901	7699
389	4903	7669
390	4904	7638
391	4904	7607
392	4905	7576
393	4905	7545
394	4906	7514
395	4906	7484
396	4907	7453
397	4907	7423
398	4908	7393
399	4908	7363
400	4911	7336
401	4912	7307
402	4912	7277
403	4913	7248
404	4913	7219
405	4914	7190
406	4914	7160
407	4915	7132
408	4916	7103
409	4916	7075
410	4917	7046
411	4917	7018
412	4918	6990
413	4918	6962
414	4919	6934
415	4919	6906
416	4920	6878
417	4920	6851
418	4921	6823
419	4921	6796
420	4922	6769
421	4922	6742
422	4923	6715
423	4923	6688
424	4924	6662
425	4924	6635
426	4925	6609
427	4925	6583
428	4926	6557
429	4927	6531
430	4927	6505
431	4928	6479
432	4928	6453
433	4929	6428
434	4929	6403
435	4930	6378
436	4931	6353
437	4931	6328
438	4932	6303
439	4932	6278
440	4933	6253
441	4934	6229
442	4935	6205
443	4935	6180
444	4936	6156
445	4936	6132
446	4937	6108
447	4937	6083
448	4938	6060
449	4938	6036
450	4939	6012
451	4939	5989
452	4940	5965
453	4940	5942
454	4941	5918
455	4945	5899
456	4945	5876
457	4946	5853
458	4946	5830
459	4947	5807
460	4947	5785
461	4948	5762
462	4949	5740
463	4949	5717
464	4950	5695
465	4950	5673
466	4951	5651
467	4951	5628
468	4952	5607
469	4952	5585
470	4953	5563
471	4953	5541
472	4954	5520
473	4955	5498
474	4955	5477
475	4956	5455
476	4960	5438
477	4961	5418
478	4967	5402
479	4967	5381
480	4968	5360
481	4968	5339
482	4969	5318
483	4969	5298
484	4970	5277
485	4970	5256
486	4970	5236
487	4971	5215
488	4971	5195
489	4972	5175
490	4972	5155
491	4973	5134
492	4973	5114
493	4974	5095
494	4974	5075
495	4975	5055
496	4975	5035
497	4976	5016
498	4976	4996
499	4977	4977
500	4977	4957
501	4978	4938
502	4978	4919
503	4979	4899
504	4979	4880
505	4979	4861
506	4985	4848
507	4986	4829
508	4986	4810
509	4987	4791
510	4987	4773
511	4988	4754
512	4988	4735
513	4989	4717
514	4990	4699
515	4990	4681
516	4991	4663
517	4992	4645
518	4992	4627
519	4993	4609
520	4994	4591
521	4994	4573
522	4995	4555
523	4995	4538
524	4996	4520
525	4996	4502
526	4997	4485
527	4997	4467
528	4998	4450
529	4998	4433
530	4999	4415
531	5000	4398
532	5000	4381
533	5001	4364
534	5001	4347
535	5002	4330
536	5003	4313
537	5003	4297
538	5004	4280
539	5005	4263
540	5005	4246
541	5006	4230
542	5006	4213
543	5007	4197
544	5007	4180
545	5008	4164
546	5008	4147
547	5009	4131
548	5009	4115
549	5010	4099
550	5010	4083
551	5011	4067
552	5011	4051
553	5012	4035
554	5013	4019
555	5014	4004
556	5014	3988
557	5015	3972
558	5016	3957
559	5016	3941
560	5017	3926
561	5017	3910
562	5018	3895
563	5018	3879
564	5019	3864
565	5020	3849
566	5020	3834
567	5021	3818
568	5021	3803
569	5022	3788
570	5022	3773
571	5023	3758
572	5023	3743
573	5024	3728
574	5025	3714
575	5025	3699
576	5026	3684
577	5028	3671
578	5029	3657
579	5030	3642
580	5030	3627
581	5031	3613
582	5032	3599
583	5032	3585
584	5033	3570
585	5034	3556
586	5034	3542
587	5035	3528
588	5035	3513
589	5036	3499
590	5036	3485
591	5037	3471
592	5037	3457
593	5038	3443
594	5039	3429
595	5039	3416
596	5040	3402
597	5040	3388
598	5041	3374
599	5042	3361
600	5042	3347
601	5043	3334
602	5044	3320
603	5044	3307
604	5045	3294
605	5046	3281
606	5047	3268
607	5048	3254
608	5048	3241
609	5049	3228
610	5050	3215
611	5050	3202
612	5051	3189
613	5053	3176
614	5053	3163
615	5054	3150
616	5055	3137
617	5056	3125
618	5056	3112
619	5058	3100
620	5059	3087
621	5059	3074
622	5060	3062
623	5061	3050
624	5062	3037
625	5063	3025
626	5063	3012
627	5064	3000
628	5065	2987
629	5065	2975
630	5066	2962
631	5066	2950
632	5067	2938
633	5068	2925
634	5068	2913
635	5069	2901
636	5070	2889
637	5070	2877
638	5071	2865
639	5071	2852
640	5072	2840
641	5073	2828
642	5073	2816
643	5074	2804
644	5074	2792
645	5075	2781
646	5075	2769
647	5077	2758
648	5077	2746
649	5078	2734
650	5078	2722
651	5079	2710
652	5079	2699
653	5080	2687
654	5080	2676
655	5081	2664
656	5091	2657
657	5092	2646
658	5092	2635
659	5093	2623
660	5093	2612
661	5094	2601
662	5102	2593
663	5102	2582
664	5103	2570
665	5106	2560
666	5107	2549
667	5107	2538
668	5108	2527
669	5109	2516
670	5110	2505
671	5110	2494
672	5111	2483
673	5111	2472
674	5112	2461
675	5112	2450
676	5113	2439
677	5113	2428
678	5114	2417
679	5114	2406
680	5114	2395
681	5115	2385
682	5115	2374
683	5116	2363
684	5116	2352
685	5117	2342
686	5117	2331
687	5118	2321
688	5118	2310
689	5119	2300
690	5120	2289
691	5121	2279
692	5121	2268
693	5123	2258
694	5123	2248
695	5124	2238
696	5125	2227
697	5125	2217
698	5126	2207
699	5126	2197
700	5127	2186
701	5127	2176
702	5128	2166
703	5128	2156
704	5128	2146
705	5129	2136
706	5129	2125
707	5130	2115
708	5130	2105
709	5131	2095
710	5131	2085
711	5132	2075
712	5132	2066
713	5133	2056
714	5133	2046
715	5133	2036
716	5134	2026
717	5134	2016
718	5135	2006
719	5135	1997
720	5137	1988
721	5139	1978
722	5141	1969
723	5145	1961
724	5145	1951
725	5146	1942
726	5146	1932
727	5147	1923
728	5147	1913
729	5148	1904
730	5148	1894
731	5149	1885
732	5149	1875
733	5149	1866
734	5150	1856
735	5150	1847
736	5151	1838
737	5151	1828
738	5152	1819
739	5152	1810
740	5153	1801
741	5153	1791
742	5154	1782
743	5154	1773
744	5154	1764
745	5155	1755
746	5155	1746
747	5156	1737
748	5156	1728
749	5157	1719
750	5157	1710
751	5158	1701
752	5158	1692
753	5159	1683
754	5159	1674
755	5160	1665
756	5160	1656
757	5161	1647
758	5162	1639
759	5162	1630
760	5163	1621
761	5163	1612
762	5164	1604
763	5164	1595
764	5165	1586
765	5165	1578
766	5167	1569
767	5167	1561
768	5168	1552
769	5168	1543
770	5169	1535
771	5170	1526
772	5170	1518
773	5171	1509
774	5171	1501
775	5172	1493
776	5172	1484
777	5173	1476
778	5174	1467
779	5174	1459
780	5175	1451
781	5175	1442
782	5176	1434
783	5177	1426
784	5177	1418
785	5178	1409
786	5178	1401
787	5179	1393
788	5179	1385
789	5180	1377
790	5181	1368
791	5181	1360
792	5182	1352
793	5182	1344
794	5183	1336
795	5184	1328
796	5184	1320
797	5185	1312
798	5185	1304
799	5186	1296
800	5187	1288
801	5188	1280
802	5188	1273
803	5189	1265
804	5189	1257
805	5190	1249
806	5191	1241
807	5191	1233
808	5192	1225
809	5192	1218
810	5193	1210
811	5194	1202
812	5194	1194
813	5195	1187
814	5195	1179
815	5196	1171
816	5196	1163
817	5197	1156
818	5197	1148
819	5198	1141
820	5198	1133
821	5199	1125
822	5200	1118
823	5200	1110
824	5201	1103
825	5202	1095
826	5202	1088
827	5203	1080
828	5203	1073
829	5204	1065
830	5205	1058
831	5205	1051
832	5206	1043
833	5206	1036
834	5207	1029
835	5208	1021
836	5209	1014
837	5210	1007
838	5210	999
839	5211	992
840	5211	985
841	5212	978
842	5213	970
843	5214	963
844	5214	956
845	5215	949
846	5215	942
847	5216	935
848	5218	928
849	5219	921
850	5220	914
851	5221	906
852	5221	899
853	5222	892
854	5223	885
855	5223	878
856	5224	871
857	5224	864
858	5225	857
859	5226	850
860	5227	843
861	5228	837
862	5228	830
863	5229	823
864	5229	816
865	5230	809
866	5231	802
867	5231	795
868	5232	788
869	5233	781
870	5235	775
871	5236	768
872	5237	761
873	5237	755
874	5238	748
875	5238	741
876	5239	734
877	5240	728
878	5240	721
879	5241	714
880	5242	708
881	5243	701
882	5243	694
883	5244	688
884	5245	681
885	5246	675
886	5246	668
887	5247	661
888	5248	655
889	5248	648
890	5249	642
891	5250	635
892	5251	629
893	5251	622
894	5252	616
895	5252	609
896	5253	603
897	5254	596
898	5254	590
899	5255	583
900	5255	577
901	5256	571
902	5256	564
903	5257	558
904	5257	551
905	5258	545
906	5259	539
907	5259	532
908	5260	526
909	5260	520
910	5261	514
911	5261	507
912	5262	501
913	5262	495
914	5263	488
915	5264	482
916	5264	476
917	5265	470
918	5265	464
919	5266	457
920	5266	451
921	5267	445
922	5268	439
923	5268	433
924	5269	427
925	5269	421
926	5270	415
927	5271	408
928	5271	402
929	5272	396
930	5272	390
931	5273	384
932	5273	378
933	5274	372
934	5275	366
935	5276	360
936	5276	354
937	5276	348
938	5277	342
939	5278	336
940	5279	331
941	5280	325
942	5280	319
943	5281	313
944	5281	307
945	5282	301
946	5282	295
947	5283	289
948	5284	283
949	5284	278
950	5285	272
951	5286	266
952	5286	260
953	5287	254
954	5287	249
955	5288	243
956	5289	237
957	5289	231
958	5290	226
959	5290	220
960	5291	214
961	5292	209
962	5292	203
963	5293	197
964	5294	192
965	5294	186
966	5295	180
967	5296	175
968	5297	169
969	5297	163
970	5298	158
971	5299	152
972	5299	147
973	5300	141
974	5300	135
975	5301	130
976	5301	124
977	5302	119
978	5302	113
979	5303	108
980	5303	102
981	5304	97
982	5304	91
983	5305	86
984	5305	80
985	5306	75
986	5306	69
987	5307	64
988	5308	59
989	5308	53
990	5309	48
991	5310	42
992	5310	37
993	5311	32
994	5311	26
995	5312	21
996	5313	15
997	5313	10
998	5314	5
999	5315	0
